[2026-01-20T18:16:43.669Z] Loaded regex filter from badwords.filter: /nobjocky/i
[2026-01-20T18:16:43.670Z] Loaded regex filter from badwords.filter: /nobjokey/i
[2026-01-20T18:16:43.670Z] Loaded regex filter from badwords.filter: /numbnuts/i
[2026-01-20T18:16:43.671Z] Loaded regex filter from badwords.filter: /nutsack/i
[2026-01-20T18:16:43.693Z] Loaded regex filter from badwords.filter: /orgasim/i
[2026-01-20T18:16:43.694Z] Loaded regex filter from badwords.filter: /orgasims/i
[2026-01-20T18:16:43.701Z] Loaded regex filter from badwords.filter: /orgasm/i
[2026-01-20T18:16:43.704Z] Loaded regex filter from badwords.filter: /orgasms/i
[2026-01-20T18:16:43.705Z] Loaded regex filter from badwords.filter: /p0rn/i
[2026-01-20T18:16:43.707Z] Loaded regex filter from badwords.filter: /pawn/i
[2026-01-20T18:16:43.712Z] Loaded regex filter from badwords.filter: /pecker/i
[2026-01-20T18:16:43.712Z] Loaded regex filter from badwords.filter: /penis/i
[2026-01-20T18:16:43.713Z] Loaded regex filter from badwords.filter: /penisfucker/i
[2026-01-20T18:16:43.717Z] Loaded regex filter from badwords.filter: /phonesex/i
